Statement,Link,Date,Source,Label
“Protesters in Kerala India accidentally brought the Italian flag instead of the Palestine flag to pro-Hamas protest.”,https://www.politifact.com/factchecks/2023/nov/08/viral-image/pro-palestinian-protest-video-shows-flags-of-an-in/,N/A,Viral image,false
New York Attorney General Letitia James said President Joe Biden “is an embarrassment to all that we stand for.”,https://www.politifact.com/factchecks/2023/nov/08/facebook-posts/no-this-video-doesnt-show-new-york-attorney-genera/,N/A,Facebook posts,false
“NASA admits space and planets are fake.”,https://www.politifact.com/factchecks/2023/nov/08/viral-image/no-nasa-didnt-admit-space-and-planets-are-fake/,N/A,Viral image,pants-fire
Video shows late night host Jimmy Fallon interviewing singer Kelly Clarkson about a weight loss product.,https://www.politifact.com/factchecks/2023/nov/08/viral-image/altered-video-appears-to-show-jimmy-fallon-intervi/,N/A,Viral image,false
Video shows California Gov. Gavin Newsom falling down airplane stairs.,https://www.politifact.com/factchecks/2023/nov/08/viral-image/no-gov-gavin-newsom-cant-be-seen-slipping-down-air/,N/A,Viral image,false
"“Only in Washington can you cut funding, add a pay-for to a new spending measure, and they say it's terrible for the deficit.”",https://www.politifact.com/factchecks/2023/nov/07/mike-johnson/can-the-federal-government-spend-less-yet-still-se/,N/A,Mike Johnson,false
"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",https://www.politifact.com/factchecks/2023/nov/07/joe-biden/did-americans-lose-the-farm-fact-checking-joe-bide/,N/A,Joe Biden,mostly-true
Video shows Hoda Kotb interviewing Kelly Clarkson about “her weight loss journey.”,https://www.politifact.com/factchecks/2023/nov/07/viral-image/altered-videos-appear-to-show-kelly-clarkson-today/,N/A,Viral image,false
Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,https://www.politifact.com/factchecks/2023/nov/07/rachael-cabral-guevara/cabral-guevara-says-some-wisconsin-child-care-prov/,N/A,"Rachael Cabral-Guevara,",mostly-true
Video shows “Israel Zionist blowing up people in hospitals” in 2023.,https://www.politifact.com/factchecks/2023/nov/07/viral-image/video-does-not-show-israel-bombing-hospitals-foota/,N/A,Viral image,false
Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,https://www.politifact.com/factchecks/2023/nov/07/viral-image/president-joe-biden-not-an-impersonator-visited-is/,N/A,Viral image,pants-fire
Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,https://www.politifact.com/factchecks/2023/nov/07/instagram-posts/altered-photo-of-actor-courteney-cox-is-not-eviden/,N/A,Instagram posts,pants-fire
"Photo shows “American soldiers praying for their country, for Israel before being deployed to defend Israel” in 2023.",https://www.politifact.com/factchecks/2023/nov/06/facebook-posts/photo-does-not-depict-us-soldiers-praying-before-b/,N/A,Facebook posts,false
Ukrainian President Volodymyr Zelenskyy “has surrendered.”,https://www.politifact.com/factchecks/2023/nov/06/instagram-posts/no-ukrainian-president-volodymyr-zelenskyy-hasnt-s/,N/A,Instagram posts,false
Israel bombed Palestinian children trying to get water.,https://www.politifact.com/factchecks/2023/nov/06/tiktok-posts/video-of-bomb-strike-on-crowd-is-from-sudan-confli/,N/A,TikTok posts,false
Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”,https://www.politifact.com/factchecks/2023/nov/03/protect-women-ohio/no-evidence-that-ohios-issue-1-would-allow-for-lat/,N/A,Protect Women Ohio,false
“Because of our economic policies we now are reducing inflation.”,https://www.politifact.com/factchecks/2023/nov/03/kamala-harris/do-bidens-policies-get-the-credit-for-the-decline/,N/A,Kamala Harris,barely-true
1936 in the United States was “much hotter than 2023.”,https://www.politifact.com/factchecks/2023/nov/03/facebook-posts/its-getting-hot-in-here-the-us-is-warmer-now-than/,N/A,Facebook posts,false
Switzerland’s distribution of iodine tablets means the government is worried about nuclear war.,https://www.politifact.com/factchecks/2023/nov/03/facebook-posts/switzerland-has-distributed-iodine-tablets-to-resi/,N/A,Facebook posts,false
Video shows “rioters rush people’s houses” Oct. 28 in Washington D.C.,https://www.politifact.com/factchecks/2023/nov/03/viral-image/video-shows-2020-protesters-invited-into-someones/,N/A,Viral image,false
Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”,https://www.politifact.com/factchecks/2023/nov/03/viral-image/no-bill-gates-didnt-write-an-article-called-depopu/,N/A,Viral image,false
“New court documents reveal that George Floyd died of a fentanyl overdose.”,https://www.politifact.com/factchecks/2023/nov/03/instagram-posts/no-this-deposition-transcript-doesnt-prove-george/,N/A,Instagram posts,false
U.S. Rep. Mike Johnson is the 45th speaker of the House.,https://www.politifact.com/factchecks/2023/nov/03/facebook-posts/us-rep-mike-johnson-is-the-56th-speaker-of-the-hou/,N/A,Facebook posts,false
"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",https://www.politifact.com/factchecks/2023/nov/03/melissa-agard/its-true-you-dont-have-to-pay-taxes-on-kit-kat-bar/,N/A,Melissa Agard,true
Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,https://www.politifact.com/factchecks/2023/nov/03/joe-biden/do-republican-spending-cuts-threaten-federal-hiv-f/,N/A,Joe Biden,half-true
Irán izó una bandera negra y “esto significa un llamado” a la guerra o venganza.,https://www.politifact.com/factchecks/2023/nov/02/facebook-posts/un-santuario-en-iran-izo-una-bandera-negra-en-luto/,N/A,Facebook posts,false
“Dr. Fauci doesn’t exist!”,https://www.politifact.com/factchecks/2023/nov/02/instagram-posts/dr-anthony-fauci-exists-contrary-to-social-media-c/,N/A,Instagram posts,pants-fire
“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,https://www.politifact.com/factchecks/2023/nov/02/vivek-ramaswamy/do-half-of-gen-z-americans-support-hamas/,N/A,Vivek Ramaswamy,barely-true
"Gasoline prices are ""up 63%"" under President Joe Biden.",https://www.politifact.com/factchecks/2023/nov/02/chris-rose/have-gasoline-prices-risen-by-63-during-joe-bidens/,N/A,Chris Rose,half-true
"“Fallecimiento del exmandatario de la presidencia de Honduras"" en incendio de cárcel en Nueva York.",https://www.politifact.com/factchecks/2023/nov/02/tiktok-posts/expresidente-de-honduras-juan-orlando-hernandez-no/,N/A,TikTok posts,false
Video muestra “momento cuando el huracán Otis llegó a Acapulco”.,https://www.politifact.com/factchecks/2023/nov/02/facebook-posts/este-video-no-es-del-huracan-otis-en-acapulco-mexi/,N/A,Facebook posts,false
“Every President we ever had in the United States of America was a draconian reptilian.”,https://www.politifact.com/factchecks/2023/nov/01/facebook-posts/snakes-in-the-white-house-no-us-presidents-arent-r/,N/A,Facebook posts,pants-fire
Gov. Ron DeSantis “actually sponsored the bill to make Puerto Rico a state.”,https://www.politifact.com/factchecks/2023/nov/01/maga-inc/ron-desantis-in-2018-backed-a-bill-drafting-a-path/,N/A,MAGA Inc,mostly-true
"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",https://www.politifact.com/factchecks/2023/nov/01/nikki-haley/what-is-nikki-haley-talking-about-when-she-cites-c/,N/A,Nikki Haley,mostly-true
Video shows Elon Musk said South Africans no longer have to work with access to his “platform.”,https://www.politifact.com/factchecks/2023/oct/31/viral-image/supposed-elon-musk-promise-that-south-africans-don/,N/A,Viral image,false
Video shows singer Kelly Clarkson discussing a “weight loss formula.”,https://www.politifact.com/factchecks/2023/oct/31/viral-image/this-ad-wears-thin-dont-fall-for-a-deepfake-of-kel/,N/A,Viral image,false
“Palestinian journalist films the moment an Israeli strike kills him and a fellow medic on live TV” in October 2023.,https://www.politifact.com/factchecks/2023/oct/31/viral-image/old-footage-of-palestinians-deaths-shared-amid-cur/,N/A,Viral image,false
Rainbow fentanyl is a threat to children on Halloween.,https://www.politifact.com/factchecks/2023/oct/31/rick-scott/rick-scott-warns-about-fentanyl-in-halloween-candy/,N/A,Rick Scott,false
"“In UCLA hundreds of students chanting: ‘Israel Israel you can’t hide, we want Jewish genocide.’”",https://www.politifact.com/factchecks/2023/oct/31/instagram-posts/ucla-protesters-didnt-advocate-for-jewish-genocide/,N/A,Instagram posts,false
The media didn’t cover “new history” when North Korea and South Korea’s leaders crossed the border for the first time.,https://www.politifact.com/factchecks/2023/oct/31/viral-image/contrary-to-social-media-claims-the-media-covered/,N/A,Viral image,false
“Joe Biden confirms WW3 live on TV.”,https://www.politifact.com/factchecks/2023/oct/31/facebook-posts/biden-urged-aid-for-israel-ukraine-he-didnt-declar/,N/A,Facebook posts,false
"Un nuevo subsidio del gobierno ofrece una tarjeta de salud con $1,200 al mes y “puedes usar el dinero para todo lo que desees o necesites"".",https://www.politifact.com/factchecks/2023/oct/31/facebook-posts/no-hay-un-nuevo-subsidio-del-gobierno-que-se-pueda/,N/A,Facebook posts,false
Photos show Gaza on Oct. 27.,https://www.politifact.com/factchecks/2023/oct/31/instagram-posts/old-photos-including-one-from-2019-dont-show-gaza/,N/A,Instagram posts,false
"Russian President Vladimir Putin suffered a heart attack Oct. 22, 2023.",https://www.politifact.com/factchecks/2023/oct/31/social-media/claim-that-russian-president-vladimir-putin-suffer/,N/A,Social Media,false
“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,https://www.politifact.com/factchecks/2023/oct/31/ron-desantis/desantis-critique-of-trump-election-spending-omits/,N/A,Ron DeSantis,half-true
“Haaretz investigation reveals discrepancies in Israel’s reporting on October 7th death toll.”,https://www.politifact.com/factchecks/2023/oct/31/instagram-posts/haaretz-rebuts-claims-about-its-reporting-on-israe/,N/A,Instagram posts,false
"“Wisconsin has historically … and I think largely continues to be, a blue state.”",https://www.politifact.com/factchecks/2023/oct/31/scott-walker/while-wisconsin-did-vote-for-biden-in-the-last-ele/,N/A,Scott Walker,barely-true
"“The airport in Salzburg, Austria, has a counter for people who flew to Austria instead of Australia.”",https://www.politifact.com/factchecks/2023/oct/30/instagram-posts/bad-day-errant-flight-dont-expect-relief-at-the-sa/,N/A,Instagram posts,false
Video shows Palestinians pretending to be corpses amid the Israel-Hamas war.,https://www.politifact.com/factchecks/2023/oct/30/viral-image/old-video-mischaracterized-as-showing-palestinians/,N/A,Viral image,false
The life span of a wind tower generator lasts just three to four years.,https://www.politifact.com/factchecks/2023/oct/30/facebook-posts/wind-turbine-generators-typically-dont-fail-after/,N/A,Facebook posts,false
Matthew Perry died because of a COVID-19 vaccine.,https://www.politifact.com/factchecks/2023/oct/30/instagram-posts/claims-that-matthew-perry-died-because-of-covid-19/,N/A,Instagram posts,false
A discrepancy in the number of ballots and voters in the 2022 general election in New York “appears to be a federal crime.”,https://www.politifact.com/factchecks/2023/oct/29/new-york-citizens-audit/no-difference-in-voter-roll-data-and-election-resu/,N/A,New York Citizens Audit,false
“The FDA is required to take the COVID vaccines off the market” because they are “adulterated.”,https://www.politifact.com/factchecks/2023/oct/27/steve-kirsch/experts-rebut-claims-that-mrna-covid-19-vaccines-a/,N/A,Steve Kirsch,false
McDonald’s changed its food wrappers to support Israel amid the war.,https://www.politifact.com/factchecks/2023/oct/27/viral-image/mcdonalds-didnt-introduce-blue-and-white-food-wrap/,N/A,Viral image,false
“It is harder to buy Sudafed than an AR-15 in Maine.”,https://www.politifact.com/factchecks/2023/oct/27/shannon-watts/in-maine-is-it-harder-to-buy-sudafed-than-an-ar-15/,N/A,Shannon Watts,half-true
"""Estados Unidos le cancelara el Parole a los venezolanos"".",https://www.politifact.com/factchecks/2023/oct/27/facebook-posts/estados-unidos-no-le-cancelo-el-parole-humanitario/,N/A,Facebook posts,false
"The Milwaukee Brewers “are complaining about a lack of transit going to the ballpark at the same time as they are testifying in favor (of) taking $135 million away from Milwaukee County, which funds transit.""",https://www.politifact.com/factchecks/2023/oct/27/chris-larson/larsons-tweet-on-brewers-stadium-funding-mostly-fa/,N/A,Chris Larson,barely-true
U.S. Sen. Chuck Schumer “is a dual Israeli citizen.”,https://www.politifact.com/factchecks/2023/oct/27/viral-image/no-sen-chuck-schumer-isnt-an-israeli-citizen/,N/A,Viral image,false
Video shows a President Joe Biden impostor.,https://www.politifact.com/factchecks/2023/oct/27/viral-image/no-this-isnt-a-president-joe-biden-impostor/,N/A,Viral image,pants-fire
“Prices have increased over 17% in the last two years.”,https://www.politifact.com/factchecks/2023/oct/26/mike-johnson/have-prices-increased-by-over-17-in-two-years/,N/A,Mike Johnson,half-true
"“In the time it’s going to take me to deliver this speech, we’ll go up another $20 million in debt.”",https://www.politifact.com/factchecks/2023/oct/26/mike-johnson/fact-checking-new-house-speaker-mike-johnson-on-th/,N/A,Mike Johnson,mostly-true
"""95% of over-the-counter pharmaceuticals"" in the U.S. come from China.",https://www.politifact.com/factchecks/2023/oct/26/vivek-ramaswamy/vivek-ramaswamy-offers-dubious-figure-for-chin/,N/A,Vivek Ramaswamy,false
"“When I came into office, Iran had $70 billion in foreign exchange reserves. … By the time I left, they had nothing. They were broke.”",https://www.politifact.com/factchecks/2023/oct/26/donald-trump/iran-foreign-reserves-plummeted-trump-watch/,N/A,Donald Trump,half-true
"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""",https://www.politifact.com/factchecks/2023/oct/25/opportunity-wisconsin/wisconsins-abortion-restrictions-may-have-role-in/,N/A,Opportunity Wisconsin,half-true
A video proves that the United Nations is “setting up shop in U.S. states.”,https://www.politifact.com/factchecks/2023/oct/25/facebook-posts/video-isnt-proof-that-united-nations-is-setting-up/,N/A,Facebook posts,false
Video shows protesters attacking Israel’s embassy in Bahrain with molotov cocktails.,https://www.politifact.com/factchecks/2023/oct/25/instagram-posts/video-shows-protesters-outside-a-police-station-in/,N/A,Instagram posts,false
Video shows protesters in Lebanon “storming the border with Palestine in support of Gaza” in October 2023.,https://www.politifact.com/factchecks/2023/oct/25/viral-image/this-video-shows-lebanese-protesters-supporting-pa/,N/A,Viral image,false
Photo shows President Joe Biden lounging on the beach in October 2023 amid the Israel-Hamas war.,https://www.politifact.com/factchecks/2023/oct/25/viral-image/president-joe-biden-recently-visited-his-delaware/,N/A,Viral image,false
"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",https://www.politifact.com/factchecks/2023/oct/25/melissa-agard/agard-correct-that-gop-senate-more-than-doubled-fi/,N/A,Melissa Agard,true
Greta Thunberg urged people to use “vegan grenades” because “no animals should have to give their life for all this mayhem and chaos.”,https://www.politifact.com/factchecks/2023/oct/25/viral-image/no-greta-thunberg-didnt-urge-people-to-use-vegan-h/,N/A,Viral image,false
Writer Bari Weiss wrote that what the Trump administration did “was pretty incredible in hindsight.”,https://www.politifact.com/factchecks/2023/oct/25/tweets/quotation-about-trump-administrations-incredible-a/,N/A,X posts,false
Este video muestra al Dr. Juan Rivera hablando sobre un medicamento para la artritis y la artrosis.,https://www.politifact.com/factchecks/2023/oct/24/facebook-posts/video-falso-usa-la-imagen-del-dr-juan-rivera-para/,N/A,Facebook posts,pants-fire
"Este video muestra al ""Presidente Joe Biden llegando a Israel"" con aviones escoltas.",https://www.politifact.com/factchecks/2023/oct/24/facebook-posts/video-no-muestra-al-presidente-joe-biden-llegando/,N/A,Facebook posts,false
"Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",https://www.politifact.com/factchecks/2023/oct/24/one-nation/petition-critical-of-joe-manchin-exaggerates-numbe/,N/A,One Nation,barely-true
Jim Justice “supports banning sporting rifles for law-abiding citizens.”,https://www.politifact.com/factchecks/2023/oct/24/alex-mooney/fact-checking-alex-mooney-on-whether-jim-justice-s/,N/A,Alex Mooney,false
"Jim Justice ""opposes the Right to Work”",https://www.politifact.com/factchecks/2023/oct/24/alex-mooney/does-gov-jim-justice-oppose-the-right-to-work-poli/,N/A,Alex Mooney,barely-true
